AS_Prediction,Instance
0.0,1
0.0008699999999999,2
0.0072999999999999,3
0.0,4
0.0,5
0.0074799999999999,6
0.0299435,7
0.0312579999999999,8
0.0241185,9
0.0269809999999999,10
0.03625,11
0.020041,12
0.0416295,13
0.0496765,14
0.033353,15
0.0412575,16
0.0322775,17
0.0521655,18
0.0328915,19
0.0399075,20
0.0376375,21
0.0381055,22
0.040537,23
0.0394445,24
0.0427585,25
0.04009,26
0.0448845,27
0.0343935,28
0.039564,29
0.037777,30
0.0287364999999999,31
0.0329825,32
0.035891,33
0.0375945,34
0.032139,35
0.0345965,36
0.0358815,37
0.0204275,38
0.026005,39
0.0201165,40
0.024046,41
0.0256695,42
0.00106,43
0.0,44
0.00224,45
0.0,46
0.00433,47
0.00454,48
0.0215815,49
0.026799,50
0.034154,51
0.0387545,52
0.0158075,53
0.0218365,54
0.0460685,55
0.041047,56
0.0566065,57
0.0348045,58
0.0364155,59
0.0392874999999999,60
0.042795,61
0.046028,62
0.045702,63
0.0421595,64
0.035326,65
0.042789,66
0.039257,67
0.036203,68
0.044588,69
0.0338264999999999,70
0.032881,71
0.0445535,72
0.0296225,73
0.0461845,74
0.0430175,75
0.0415414999999999,76
0.0356915,77
0.0434089999999999,78
0.0395985,79
0.0318735,80
0.039636,81
0.0257085,82
0.034023,83
0.035592,84
0.00119,85
0.0039195,86
0.0,87
0.003332,88
0.00454,89
0.00302,90
0.0298935,91
0.023562,92
0.0323645,93
0.0304925,94
0.019115,95
0.040457,96
0.045477,97
0.033774,98
0.035704,99
0.038192,100
0.0304685,101
0.035765,102
0.0438995,103
0.0390555,104
0.0342355,105
0.0332434999999999,106
0.04946,107
0.045595,108
0.0649619999999999,109
0.088522,110
0.0889485,111
0.034806,112
0.080396,113
0.067947,114
0.042744,115
0.0461055,116
0.0379725,117
0.0344015,118
0.04293,119
0.0475075,120
0.033023,121
0.0271105,122
0.033294,123
0.0450825,124
0.0334664999999999,125
0.0365075,126
0.0,127
0.00717,128
0.00476,129
0.0,130
0.00155,131
0.00136,132
0.0252045,133
0.027625,134
0.0267255,135
0.020408,136
0.014277,137
0.016963,138
0.0474264999999999,139
0.0454055,140
0.0494025,141
0.0460034999999999,142
0.039838,143
0.0332405,144
0.041558,145
0.0475955,146
0.044735,147
0.0361755,148
0.033481,149
0.041041,150
0.09253,151
0.0626975,152
0.0906085,153
0.0567245,154
0.082985,155
0.0751445,156
0.046941,157
0.0397295,158
0.0510865,159
0.040282,160
0.0460185,161
0.053853,162
0.0560969999999999,163
0.048499,164
0.042422,165
0.0402675,166
0.0368815,167
0.0345035,168
0.02619,169
0.0,170
0.0,171
0.00937,172
0.0,173
0.011819,174
0.0356165,175
0.027104,176
0.0353555,177
0.0253025,178
0.0372775,179
0.0593145,180
0.0343814999999999,181
0.0382815,182
0.0400289999999999,183
0.039763,184
0.0306919999999999,185
0.0391315,186
0.0344225,187
0.037222,188
0.038672,189
0.0374925,190
0.042225,191
0.0377145,192
0.0347634999999999,193
0.0368384999999999,194
0.0282905,195
0.031172,196
0.035996,197
0.0429719999999999,198
0.031431,199
0.0297549999999999,200
0.0307355,201
0.0394459999999999,202
0.0301379999999999,203
0.0177235,204
0.0335635,205
0.034698,206
0.0229455,207
0.0300205,208
0.0167259999999999,209
0.0174455,210
0.0,211
0.00846,212
0.0,213
0.00279,214
0.0,215
0.00254,216
0.027572,217
0.0321485,218
0.0173375,219
0.021523,220
0.022677,221
0.023517,222
0.0313895,223
0.0305655,224
0.0408075,225
0.0388935,226
0.024404,227
0.0376355,228
0.042302,229
0.039022,230
0.033231,231
0.044976,232
0.0330455,233
0.035754,234
0.035687,235
0.0343025,236
0.0324905,237
0.0333405,238
0.032371,239
0.039062,240
0.030259,241
0.0415275,242
0.0532765,243
0.049856,244
0.0369825,245
0.036995,246
0.0363835,247
0.0419565,248
0.038322,249
0.0340144999999999,250
0.0337205,251
0.032976,252
